participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
4,medium_pupil_percent,6,0.1568,-0.7452,0.9902,0.766657,0.906049
4,large_pupil_percent,6,0.2431,-0.6737,0.9494,0.642471,0.906049
4,ecg_heart_rate,6,0.6485,-0.4041,0.9959,0.163589,0.906049
4,ecg_sdnn,6,0.4207,-0.8872,0.9908,0.406211,0.906049
4,ecg_rmssd,6,0.2368,-0.973,0.9414,0.651474,0.906049
4,ecg_pnn50,6,-0.2522,-0.9608,0.8417,0.629772,0.906049
5,emotion_diversity,6,0.2315,-0.5,0.9648,0.659017,0.915302
5,non_neutral_percent,6,-0.5965,-0.977,0.1516,0.211356,0.614552
5,positive_percent,6,0.5667,-0.8952,0.9406,0.240965,0.614552
5,negative_percent,6,-0.7543,-0.9987,-0.0358,0.083154,0.614552
5,neutral_percent,6,0.5965,-0.1516,0.977,0.211356,0.614552
5,happy_percent,6,,,,,
5,sad_percent,6,0.3985,-0.3023,0.9927,0.433907,0.638099
5,surprise_percent,6,0.5667,-0.8952,0.9406,0.240965,0.614552
5,fear_percent,6,-0.8479,-0.9996,-0.1249,0.032942,0.614552
5,disgust_percent,6,0.6057,-0.4175,0.9726,0.202585,0.614552
5,angry_percent,6,,,,,
5,short_blink_percent,6,-0.4507,-0.9834,0.9841,0.369783,0.638099
5,medium_blink_percent,6,0.446,-0.9705,0.9956,0.375319,0.638099
5,long_blink_percent,6,-0.1081,-0.9787,0.981,0.838547,0.951973
5,short_fixation_low_disp_percent,6,0.5157,-0.0991,0.976,0.294985,0.614552
5,short_fixation_high_disp_percent,6,-0.5157,-0.976,0.0991,0.294985,0.614552
5,medium_fixation_low_disp_percent,6,0.5384,-1.0,1.0,0.270397,0.614552
5,medium_fixation_high_disp_percent,6,-0.5384,-1.0,1.0,0.270397,0.614552
5,long_fixation_low_disp_percent,6,0.0514,-0.8586,0.9185,0.922986,0.951973
5,long_fixation_high_disp_percent,6,-0.0514,-0.9185,0.8586,0.922986,0.951973
5,small_pupil_percent,6,0.4131,-0.7999,0.9982,0.415565,0.638099
5,medium_pupil_percent,6,-0.4186,-0.998,0.8011,0.408815,0.638099
5,large_pupil_percent,6,0.1799,-0.9388,0.9434,0.733087,0.951973
5,ecg_heart_rate,6,0.5742,-0.1506,1.0,0.233325,0.614552
5,ecg_sdnn,6,0.0806,-0.6067,0.9804,0.8793,0.951973
5,ecg_rmssd,6,0.032,-0.6405,0.8944,0.951973,0.951973
5,ecg_pnn50,6,-0.1065,-0.6681,0.8944,0.840901,0.951973
6,emotion_diversity,6,0.585,-0.3162,1.0,0.222583,0.535927
6,non_neutral_percent,6,-0.0155,-0.9967,0.9746,0.97682,0.97682
6,positive_percent,6,-0.4972,-0.9982,0.5373,0.31561,0.584198
6,negative_percent,6,0.76,-0.6759,1.0,0.079492,0.519738
